"length"	"TGL49_0196_Ct_T_PE_319_CM"	"TGL49_0197_Ct_T_PE_313_CM"	"TGL49_0198_Ct_T_PE_312_CM"	"TGL49_0199_Ct_T_PE_312_CM"	"TGL49_0200_Ct_T_PE_310_CM"	"TGL49_0201_Cf_R_PE_423_CM"	"TGL49_0201_Ct_T_PE_318_CM"	"TGL49_0255_Ct_n_PE_220318_CM"	"TGL49_0256_Ct_n_PE_220318_CM"	"TGL49_0257_Ct_n_PE_220318_CM"	"TGL49_0258_Ct_n_PE_220318_CM"	"TGL49_0259_Ct_n_PE_220318_CM"	"TGL49_0260_Ct_n_PE_220318_CM"	"TGL49_0261_Ct_n_PE_220318_CM"	"TGL49_0263_Ct_n_PE_220318_CM"	"TGL49_0264_Pb_U_PE_414_CM"	"TGL49_0265_Pb_U_PE_421_CM"	"TGL49_0266_Pb_U_PE_379_CM"	"TGL49_0267_Cf_R_PE_389_CM"	"TGL49_0267_Pb_U_PE_412_CM"	"TGL49_0268_Pb_U_PE_378_CM"	"TGL49_0301_Cf_R_PE_431_CM"	"TGL49_0302_Cf_R_PE_394_CM"	"TGL49_0303_Cf_R_PE_403_CM"	"TGL49_0304_Cf_R_PE_387_CM"	"TGL49_0305_Cf_R_PE_417_CM"	"TGL49_0306_Cf_R_PE_375_CM"	"TGL49_0307_Cf_R_PE_388_CM"
"40"	0.0654234823433913	0.0741056370357068	0.0386887870808945	0.0437526120271133	0.0443424755609653	0.0132443005542826	0	0.0285376927695574	0.0254974592566573	0.0199487738395947	0.0126813490828272	0.0232962197674105	0.0261776941110062	0.0231258327303382	0.0244303748165144	0.0044336268970065	0.0103039574794963	0	0.00515869695800664	0.0184619165503319	0.000551290350471344	0.0201723593114513	0.00202538885097437	0	0.000734370904867718	0.020122792555568	0	0.000408582913537395
"41"	0.059881190913554	0.0667707543227221	0.0367039369053785	0.0401549678649101	0.0401560481879717	0.00970932378296488	0	0.0273047101468804	0.0236636682334858	0.0184090260138878	0.0119733859361914	0.0205363590364013	0.0231512301740057	0.0196342736792708	0.0226685122815077	0.00310999556610407	0.00749940310558066	0	0.00448060736797544	0.0158021489117248	0.000856023710028368	0.0193291052757327	0.00298047107779288	0	0.00122447680918931	0.016729162457123	0	0.000488643079027831
"42"	0.0507786547493054	0.0469976665104117	0.0327220893684501	0.0305357518458365	0.0337769731043968	0.0105307907004607	0	0.0269361929942926	0.02384298046055	0.0184878941058271	0.013157674517891	0.0202368392671444	0.0234385526996703	0.0191566076156159	0.021986944500407	0.00463270965815849	0.0080584607506013	0	0.00463448154417482	0.0153357869388921	0.000853253406759668	0.0189936171109845	0.00271161415067239	0	0.00149395626140471	0.0169807288098617	0	0.000541096290900875
"43"	0.0492961050763192	0.0423036159462728	0.0320394175210572	0.0303110484895261	0.0337718739236745	0.0105367218695401	0	0.0258874689479095	0.0236599710741649	0.0177453206863373	0.0120810485345277	0.019590732336319	0.0235621884531381	0.0187069219908362	0.0215175073255278	0.00472148980840194	0.00827775960583038	0	0.00689564952324043	0.0150108379513699	0.00109426979113659	0.0186150595196807	0.0037255888472411	0	0.00157117551964188	0.0164977214126034	0	0.000488643079027831
"44"	0.0508131944370273	0.0431198731559161	0.0344445603285979	0.0293309593822149	0.0347611149837972	0.0126333901391052	0	0.0283293255944961	0.0249687654737671	0.0192899219330865	0.0144773569732559	0.0215333319826418	0.0257127540240216	0.0207115205759653	0.0233481158903286	0.00612583036679842	0.00939896361214248	0	0.00746420156411275	0.0170598218449123	0.00217745836919837	0.0195172506654226	0.00748446474260188	0	0.00293275590978288	0.0183064834887946	0	0.000977286158055662
"45"	0.0510709136454138	0.0434536926310083	0.0354503473208422	0.0307485028959601	0.0353628183090265	0.0115153647676398	0	0.028327603551727	0.0246397182942061	0.0187451254210752	0.0136894625036128	0.0210926100364496	0.0245913254996095	0.0200979495234881	0.0217198170703502	0.00596441191181032	0.00891712387389266	0	0.00784497494928411	0.0170628306318338	0.00203063229595726	0.0193857755738321	0.00698515902080668	0	0.00301470287770803	0.0182612015453017	0	0.000913790164735661
"46"	0.0510682567463582	0.0453742978301688	0.0360115473092684	0.0314895458795369	0.0352965289596368	0.0113878446324328	0	0.0279263675865262	0.0244049486773283	0.0189744495653294	0.0134251997622418	0.0210861917556798	0.0250493001920324	0.0206035960260182	0.0225172710159608	0.00583796745540297	0.00904993867353844	0	0.00964712843663628	0.0166837234797247	0.00343794635645697	0.0192202983033819	0.00908992467883568	0	0.00329994136221674	0.0181077460701311	0	0.000974525462693923
"47"	0.0534328969057807	0.0497779711796728	0.0391941100141959	0.0350154762046197	0.0384605705978129	0.0108243835698906	0	0.0287133411320058	0.0257192888159119	0.0194355245643591	0.013624212444015	0.0215932359364932	0.0254480690306821	0.0208034563036981	0.0233206174784109	0.00602628898622242	0.00906229353862177	0	0.00951151051863004	0.0160398430785234	0.00512783135036411	0.0189732158036687	0.0121830596118029	0.000204170940077871	0.00724600304845872	0.0185681124956429	0	0.00158187844227654
"48"	0.0602133032954954	0.0594038615230847	0.0466597704662894	0.0413215129487341	0.045076757584974	0.0125978031246288	0	0.031959391751763	0.0284422466557623	0.0214302806127925	0.015296245221208	0.0242760772982649	0.0279852139997326	0.024171101982604	0.0251905094888083	0.00750057754178041	0.0101556990984964	0	0.0120465223705929	0.0190757090823182	0.00604757203557258	0.0225230432766132	0.0153299659301941	0.000293719598006762	0.00797879805009711	0.020311467320122	0	0.00181101615730089
"49"	0.0688933925099146	0.0678956802250876	0.0536784144773854	0.0463462624696319	0.0517082421143019	0.014430534370161	0	0.0362886072732853	0.032921355173045	0.0244054277117941	0.0177708537314535	0.0278104105754954	0.0323681885275981	0.0277246177197521	0.0285747783269538	0.00840183058213064	0.010696224445892	2.35202188180038e-05	0.0145059011528984	0.0204146192623863	0.00964342567834546	0.0237153863486239	0.0209554770624201	0.00071280731711397	0.0119878958655123	0.0237679890067516	0	0.00284075552722959
